"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
5,2022,257,1,2,1,0,NA,0.18,436.76,0.171839717,0.04435978,0.080238342,0.141956329,0.162010193,0.194320679,0.232521057,0.340339661
5,2023,157,1,1,NA,0,5,0.662,788.11,0.612210955,0.07414852,0.380477905,0.570980072,0.624099731,0.664329529,0.700881958,0.75541687
5,2023,265,1,2,NA,2,NA,0.292,607.64,0.25392485,0.06005563,0.097206116,0.218667984,0.24753952,0.286632538,0.343238831,0.405128479
50,2022,165,2,1,0,0,5,0.654,577.9,0.563364408,0.066863311,0.331474304,0.516899109,0.571720123,0.61296463,0.645069885,0.706329346
50,2022,214,2,2,0,0,3,0.292,259.15,0.299301602,0.024616214,0.230201721,0.280572891,0.298423767,0.318080902,0.333509827,0.356971741
50,2022,257,2,3,0,2,3,0.186,139.16,0.17629373,0.029665312,0.09602356,0.154275894,0.174224854,0.195825577,0.219777679,0.258148193
50,2023,157,2,1,NA,0,4,0.592,678.19,0.603162755,0.075869795,0.387779236,0.545879364,0.598442078,0.653591156,0.708770752,0.799430847
50,2023,221,2,2,NA,2,5,0.31,333.37,0.248038003,0.044806734,0.123214722,0.215950012,0.248527527,0.28087616,0.305895233,0.349121094
50,2023,265,2,3,NA,1,5,0.176,109.75,0.135853238,0.020994018,0.079971313,0.120473862,0.133052826,0.151441574,0.164755249,0.198776245
51,2022,165,2,1,0,0,NA,0.596,659.63,0.570834415,0.079600106,0.291931152,0.527421951,0.587982178,0.630872726,0.653374481,0.689163208
51,2022,214,2,2,0,0,NA,0.246,253.48,0.241794896,0.029867377,0.160560608,0.218658447,0.239646912,0.263542175,0.2840271,0.323181152
51,2022,257,2,3,0,2,NA,0.144,108.22,0.120287198,0.017876617,0.061408997,0.107580185,0.123241425,0.133483887,0.141993713,0.161224365
51,2023,157,2,1,NA,0,4,0.56,790.79,0.438531999,0.069296961,0.204711914,0.395248413,0.432243347,0.471126556,0.540821075,0.634544373
51,2023,221,2,2,NA,2,NA,0.308,324.96,0.216660593,0.0245442,0.149246216,0.200088501,0.215431213,0.232650757,0.250123596,0.284767151
51,2023,265,2,3,NA,2,NA,0.154,117.16,0.142903426,0.05462542,0.015609741,0.104438782,0.128547668,0.168525696,0.214355469,0.325286865
52,2022,165,2,1,0,2,4,0.278,996.34,0.302184049,0.037115656,0.210487366,0.275211334,0.303451538,0.328556061,0.349958801,0.401290894
52,2022,214,2,2,1,0,3,0.154,236.38,0.126530557,0.03315789,0.034362793,0.108669281,0.125534058,0.1443367,0.170005798,0.220031738
52,2022,257,2,3,1,2,2,0.18,197.87,0.13745442,0.02185508,0.069587708,0.12311554,0.135314941,0.15096283,0.165351868,0.213562012
52,2023,157,2,1,NA,0,4,0.526,745.74,0.584601583,0.068543212,0.323249817,0.534065247,0.582000732,0.644470215,0.671078491,0.731338501
52,2023,221,2,2,NA,2,4,0.258,395.85,0.176700518,0.047273268,0.091667175,0.137893677,0.174354553,0.207374573,0.242936707,0.29826355
52,2023,265,2,3,NA,2,4,0.178,194.22,0.115835877,0.036638441,0.028503418,0.084135056,0.117923737,0.146705627,0.164146423,0.198234558
53,2022,165,2,1,0,1,NA,0.282,795.96,0.2719163,0.057384475,0.11730957,0.238025665,0.268180847,0.309383392,0.351730347,0.424263
53,2022,214,2,2,1,0,NA,0.154,166.88,0.117382486,0.041325298,0.010612488,0.091194153,0.114906311,0.150058746,0.170887756,0.225654602
53,2022,257,2,3,0,2,NA,0.184,185.66,0.1247186,0.040033771,0.010169983,0.098579407,0.122581482,0.153594971,0.179464722,0.242637634
53,2023,157,2,1,NA,0,6,0.466,879.88,0.541302906,0.085547776,0.281318665,0.480241776,0.553604126,0.601947784,0.64978714,0.706375122
53,2023,221,2,2,NA,1,NA,0.34,473.72,0.242087802,0.050974794,0.086158752,0.209945679,0.25851059,0.281761169,0.295162201,0.332710266
53,2023,265,2,3,NA,2,NA,0.168,160.73,0.107739761,0.035510457,0.010673523,0.080663681,0.114459991,0.135002136,0.150563049,0.182807922
